Label,Element,Concentration
98688 A,Co 258.033,2.75
98688 A,Cr 266.602,4.65
98688 A,Cr 267.716,4.28
,,
98688 B,Ag 328.068,-0.08
98688 B,Al 308.215,39.91
98688 B,As 188.980,7.03
98688 B,As 193.696,8.85
98688 B,B 249.772,0.12
98688 B,Ca 422.673,643.69
98688 B,Ca 430.253,661.39
98688 B,Ca 643.907,619.08
98688 B,Cd 214.439,0.19
98688 B,Co 231.406,-3.76
98688 B,Co 258.033,0.78
98688 B,Cr 266.602,4.64
98688 B,Cr 267.716,4.03
,,
98693 A,Ag 328.068,0.87
98693 A,Al 308.215,426.35
98693 A,As 188.980,7.77
98693 A,As 193.696,2.59
98693 A,B 249.772,16.46
98693 A,Ca 422.673,155443.10
98693 A,Ca 430.253,162722.34
98693 A,Ca 643.907,153373.49
98693 A,Cd 214.439,0.69
98693 A,Co 231.406,1.32
98693 A,Co 258.033,3.52
98693 A,Cr 266.602,18.79
98693 A,Cr 267.716,17.51
,,
98693 B,Ag 328.068,0.06
98693 B,Al 308.215,575.29
98693 B,As 188.980,8.69
98693 B,As 193.696,5.64
98693 B,B 249.772,15.26
98693 B,Ca 422.673,144025.25
98693 B,Ca 430.253,150301.85
98693 B,Ca 643.907,141894.89
98693 B,Cd 214.439,0.26
98693 B,Co 231.406,-3.30
98693 B,Co 258.033,0.50
98693 B,Cr 266.602,18.55
98693 B,Cr 267.716,15.92
,,
36621 A r,Ag 328.068,-0.01
36621 A r,Al 308.215,40.29
36621 A r,As 188.980,0.39
36621 A r,As 193.696,0.44
36621 A r,B 249.772,0.49
36621 A r,Ca 422.673,389.49
36621 A r,Ca 430.253,402.95
36621 A r,Ca 643.907,384.53
36621 A r,Cd 214.439,0.02
36621 A r,Co 231.406,0.05
36621 A r,Co 258.033,0.12
36621 A r,Cr 266.602,0.33
36621 A r,Cr 267.716,0.30
,,
36621 B r,Ag 328.068,-0.01
36621 B r,Al 308.215,44.18
36621 B r,As 188.980,0.37
36621 B r,As 193.696,0.08
36621 B r,B 249.772,0.54
36621 B r,Ca 422.673,425.77
36621 B r,Ca 430.253,441.14
36621 B r,Ca 643.907,419.93
36621 B r,Cd 214.439,0.01
36621 B r,Co 231.406,0.10
36621 B r,Co 258.033,0.12
36621 B r,Cr 266.602,0.33
36621 B r,Cr 267.716,0.33
,,
36622 A R,Ag 328.068,-0.01
36622 A R,Al 308.215,2.95
36622 A R,As 188.980,0.18
36622 A R,As 193.696,0.05
36622 A R,B 249.772,0.09
36622 A R,Ca 422.673,532.68
36622 A R,Ca 430.253,546.68
36622 A R,Ca 643.907,519.15
36622 A R,Cd 214.439,0.00
36622 A R,Co 231.406,-0.02
36622 A R,Co 258.033,-0.01
36622 A R,Cr 266.602,0.06
36622 A R,Cr 267.716,0.05
,,
36622 B R,Ag 328.068,-0.01
36622 B R,Al 308.215,2.97
36622 B R,As 188.980,0.09
36622 B R,As 193.696,0.30
36622 B R,B 249.772,0.09
36622 B R,Ca 422.673,538.31
36622 B R,Ca 430.253,550.36
36622 B R,Ca 643.907,527.32
36622 B R,Cd 214.439,0.02
36622 B R,Co 231.406,-0.03
36622 B R,Co 258.033,0.02
36622 B R,Cr 266.602,0.08
36622 B R,Cr 267.716,0.05
,,
36623 A R,Ag 328.068,0.00
36623 A R,Al 308.215,27.19
36623 A R,As 188.980,0.11
36623 A R,As 193.696,0.31
36623 A R,B 249.772,0.43
36623 A R,Ca 422.673,388.17
36623 A R,Ca 430.253,403.27
36623 A R,Ca 643.907,382.47
36623 A R,Cd 214.439,0.02
36623 A R,Co 231.406,0.06
36623 A R,Co 258.033,0.09
36623 A R,Cr 266.602,0.31
36623 A R,Cr 267.716,0.28
,,
36623 B R,Ag 328.068,-0.02
36623 B R,Al 308.215,26.96
36623 B R,As 188.980,0.38
36623 B R,As 193.696,0.43
36623 B R,B 249.772,0.44
36623 B R,Ca 422.673,386.89
36623 B R,Ca 430.253,401.08
36623 B R,Ca 643.907,380.20
36623 B R,Cd 214.439,0.01
36623 B R,Co 231.406,0.09
36623 B R,Co 258.033,0.09
36623 B R,Cr 266.602,0.28
36623 B R,Cr 267.716,0.28
,,
36624 A R,Ag 328.068,-0.01
36624 A R,Al 308.215,0.93
36624 A R,As 188.980,0.28
36624 A R,As 193.696,0.36
36624 A R,B 249.772,0.11
36624 A R,Ca 422.673,804.53
36624 A R,Ca 430.253,832.09
36624 A R,Ca 643.907,788.52
36624 A R,Cd 214.439,0.01
36624 A R,Co 231.406,0.00
36624 A R,Co 258.033,-0.01
36624 A R,Cr 266.602,0.06
36624 A R,Cr 267.716,0.03
,,
36624 B R,Ag 328.068,-0.01
36624 B R,Al 308.215,0.92
36624 B R,As 188.980,0.29
36624 B R,As 193.696,0.34
36624 B R,B 249.772,0.10
36624 B R,Ca 422.673,799.21
36624 B R,Ca 430.253,829.04
36624 B R,Ca 643.907,785.33
36624 B R,Cd 214.439,0.01
36624 B R,Co 231.406,-0.03
36624 B R,Co 258.033,0.02
36624 B R,Cr 266.602,0.03
36624 B R,Cr 267.716,0.02
,,
98690 A (NH4OH),Ag 328.068,-0.03
98690 A (NH4OH),Al 308.215,3.42
98690 A (NH4OH),As 188.980,1.99
98690 A (NH4OH),As 193.696,4.71
98690 A (NH4OH),B 249.772,-0.01
98690 A (NH4OH),Ca 422.673,447.37
98690 A (NH4OH),Ca 430.253,457.78
98690 A (NH4OH),Ca 643.907,439.45
98690 A (NH4OH),Cd 214.439,0.05
98690 A (NH4OH),Co 231.406,-0.06
98690 A (NH4OH),Co 258.033,0.15
98690 A (NH4OH),Cr 266.602,0.04
98690 A (NH4OH),Cr 267.716,0.03
,,
98690 B (NH4OH),Ag 328.068,0.04
98690 B (NH4OH),Al 308.215,2.81
98690 B (NH4OH),As 188.980,1.64
98690 B (NH4OH),As 193.696,2.72
98690 B (NH4OH),B 249.772,-0.09
98690 B (NH4OH),Ca 422.673,73.37
98690 B (NH4OH),Ca 430.253,76.72
98690 B (NH4OH),Ca 643.907,74.50
98690 B (NH4OH),Cd 214.439,0.03
98690 B (NH4OH),Co 231.406,-0.24
98690 B (NH4OH),Co 258.033,0.18
98690 B (NH4OH),Cr 266.602,0.02
98690 B (NH4OH),Cr 267.716,0.03
,,
98691 A (NH4OH),Ag 328.068,-0.03
98691 A (NH4OH),Al 308.215,1.22
98691 A (NH4OH),As 188.980,0.86
98691 A (NH4OH),As 193.696,3.32
98691 A (NH4OH),B 249.772,-0.11
98691 A (NH4OH),Ca 422.673,91.55
98691 A (NH4OH),Ca 430.253,96.67
98691 A (NH4OH),Ca 643.907,95.06
98691 A (NH4OH),Cd 214.439,0.04
98691 A (NH4OH),Co 231.406,-0.50
98691 A (NH4OH),Co 258.033,0.05
98691 A (NH4OH),Cr 266.602,-0.03
98691 A (NH4OH),Cr 267.716,0.08
,,
98691 B (NH4OH),Ag 328.068,-0.03
98691 B (NH4OH),Al 308.215,3.28
98691 B (NH4OH),As 188.980,0.83
98691 B (NH4OH),As 193.696,1.89
98691 B (NH4OH),B 249.772,-0.09
98691 B (NH4OH),Ca 422.673,151.69
98691 B (NH4OH),Ca 430.253,156.53
98691 B (NH4OH),Ca 643.907,158.31
98691 B (NH4OH),Cd 214.439,0.03
98691 B (NH4OH),Co 231.406,-0.12
98691 B (NH4OH),Co 258.033,0.26
98691 B (NH4OH),Cr 266.602,0.15
98691 B (NH4OH),Cr 267.716,0.02
,,
98690 A,Ag 328.068,0.03
98690 A,Al 308.215,3.08
98690 A,As 188.980,2.42
98690 A,As 193.696,2.21
98690 A,B 249.772,0.00
98690 A,Ca 422.673,75.09
98690 A,Ca 430.253,77.91
98690 A,Ca 643.907,74.24
98690 A,Cd 214.439,0.01
98690 A,Co 231.406,-0.22
98690 A,Co 258.033,-0.12
98690 A,Cr 266.602,0.64
98690 A,Cr 267.716,0.55
,,
98690 B,Ag 328.068,0.06
98690 B,Al 308.215,3.36
98690 B,As 188.980,1.81
98690 B,As 193.696,3.15
98690 B,B 249.772,-0.07
98690 B,Ca 422.673,82.15
98690 B,Ca 430.253,85.96
98690 B,Ca 643.907,84.21
98690 B,Cd 214.439,0.04
98690 B,Co 231.406,-0.06
98690 B,Co 258.033,-0.02
98690 B,Cr 266.602,0.06
98690 B,Cr 267.716,0.02
,,
98691 A,Ag 328.068,-0.01
98691 A,Al 308.215,1.65
98691 A,As 188.980,1.14
98691 A,As 193.696,2.26
98691 A,B 249.772,-0.10
98691 A,Ca 422.673,197.86
98691 A,Ca 430.253,203.39
98691 A,Ca 643.907,206.22
98691 A,Cd 214.439,0.03
98691 A,Co 231.406,-0.21
98691 A,Co 258.033,-0.16
98691 A,Cr 266.602,-0.17
98691 A,Cr 267.716,0.08
,,
98691 B,Ag 328.068,0.07
98691 B,Al 308.215,0.93
98691 B,As 188.980,0.48
98691 B,As 193.696,2.50
98691 B,B 249.772,-0.07
98691 B,Ca 422.673,101.68
98691 B,Ca 430.253,107.11
98691 B,Ca 643.907,106.68
98691 B,Cd 214.439,0.04
98691 B,Co 231.406,-0.10
98691 B,Co 258.033,0.08
98691 B,Cr 266.602,0.12
98691 B,Cr 267.716,0.04
,,
98690 A (20%),Ag 328.068,-0.01
98690 A (20%),Al 308.215,3.56
98690 A (20%),As 188.980,0.91
98690 A (20%),As 193.696,3.53
98690 A (20%),B 249.772,-0.05
98690 A (20%),Ca 422.673,116.62
98690 A (20%),Ca 430.253,121.20
98690 A (20%),Ca 643.907,122.69
98690 A (20%),Cd 214.439,0.00
98690 A (20%),Co 231.406,-0.25
98690 A (20%),Co 258.033,0.07
98690 A (20%),Cr 266.602,0.37
98690 A (20%),Cr 267.716,0.25
,,
98690 B (20%),Ag 328.068,0.07
98690 B (20%),Al 308.215,3.43
98690 B (20%),As 188.980,0.33
98690 B (20%),As 193.696,2.12
98690 B (20%),B 249.772,-0.05
98690 B (20%),Ca 422.673,116.82
98690 B (20%),Ca 430.253,119.04
98690 B (20%),Ca 643.907,122.59
98690 B (20%),Cd 214.439,0.00
98690 B (20%),Co 231.406,-0.20
98690 B (20%),Co 258.033,-0.19
98690 B (20%),Cr 266.602,0.40
98690 B (20%),Cr 267.716,0.21
,,
98691 A (20%),Ag 328.068,-0.05
98691 A (20%),Al 308.215,3.19
98691 A (20%),As 188.980,1.96
98691 A (20%),As 193.696,1.42
98691 A (20%),B 249.772,-0.04
98691 A (20%),Ca 422.673,145.90
98691 A (20%),Ca 430.253,148.75
98691 A (20%),Ca 643.907,150.07
98691 A (20%),Cd 214.439,0.01
98691 A (20%),Co 231.406,-0.23
98691 A (20%),Co 258.033,0.00
98691 A (20%),Cr 266.602,0.17
98691 A (20%),Cr 267.716,0.09
,,
98691 B (20%),Ag 328.068,-0.03
98691 B (20%),Al 308.215,4.29
98691 B (20%),As 188.980,2.05
98691 B (20%),As 193.696,5.20
98691 B (20%),B 249.772,-0.04
98691 B (20%),Ca 422.673,143.76
98691 B (20%),Ca 430.253,147.77
98691 B (20%),Ca 643.907,155.33
98691 B (20%),Cd 214.439,0.01
98691 B (20%),Co 231.406,-0.16
98691 B (20%),Co 258.033,0.47
98691 B (20%),Cr 266.602,0.25
98691 B (20%),Cr 267.716,0.07
,,
36631 A,Ag 328.068,0.00
36631 A,Al 308.215,13.69
36631 A,As 188.980,0.20
36631 A,As 193.696,0.42
36631 A,B 249.772,0.18
36631 A,Ca 422.673,315.50
36631 A,Ca 430.253,325.82
36631 A,Ca 643.907,312.28
36631 A,Cd 214.439,0.01
36631 A,Co 231.406,0.00
36631 A,Co 258.033,0.07
36631 A,Cr 266.602,0.18
36631 A,Cr 267.716,0.17
,,
