Label,Element,Average,STD,Aa,Bb,A,B,Ar,Br,R,C,b,Cr
70351,Fe 238.204,8122.3099999999995,153.6825878230837,8013.64,8230.98,8013.64,8230.98,,,,,8230.98,
70351,Hg 184.887,,,,,,,,,,,,
70351,Hg 194.164,0.8300000000000001,1.7960512242138307,-0.44,2.1,-0.44,2.1,,,,,2.1,
70351,K 766.491,3107.355,24.868945494330926,3089.77,3124.94,3089.77,3124.94,,,,,3124.94,
70351,Mg 279.553,2630.5,39.3151370339723,2602.7,2658.3,2602.7,2658.3,,,,,2658.3,
70351,Mg 285.213,2621.135,31.940013306196082,2598.55,2643.72,2598.55,2643.72,,,,,2643.72,
70351,Mg 383.230,,,,,,,,,,,,
70351,Mn 257.610,93.33500000000001,1.9021172413918213,91.99,94.68,91.99,94.68,,,,,94.68,
70351,Mn 346.032,,,,,,,,,,,,
70351,Mo 202.032,-1.3050000000000002,0.0777817459305203,-1.36,-1.25,-1.36,-1.25,,,,,-1.25,
70351,Mo 204.598,7.385,1.831406563273158,8.68,6.09,8.68,6.09,,,,,6.09,
70351,Mo 313.259,10.925,2.496086937588512,9.16,12.69,9.16,12.69,,,,,12.69,
70351,Na 588.995,6034.92,37.9150656072226,6008.11,6061.73,6008.11,6061.73,,,,,6061.73,
70351,Na 589.592,6243.36,41.83243717499605,6213.78,6272.94,6213.78,6272.94,,,,,6272.94,
70351,Ni 225.385,19.3,3.790092347159894,21.98,16.62,21.98,16.62,,,,,16.62,
70351,Ni 227.877,5.095,17.826161953712862,-7.51,17.7,-7.51,17.7,,,,,17.7,
70351,P 213.618,1309.9650000000001,20.400030637231993,1295.54,1324.39,1295.54,1324.39,,,,,1324.39,
70351,P 215.294,,,,,,,,,,,,
70351,P 255.491,,,,,,,,,,,,
70351,Pb 220.353,3.1550000000000002,0.7566042558696058,2.62,3.69,2.62,3.69,,,,,3.69,
70351,Pb 266.315,,,,,,,,,,,,
70351,Pb 363.957,,,,,,,,,,,,
70351,Sb 206.834,15.515,2.5102290732122428,13.74,17.29,13.74,17.29,,,,,17.29,
70351,Si 251.611,5110.610000000001,183.63563107414626,4980.76,5240.46,4980.76,5240.46,,,,,5240.46,
70351,Sn 189.925,12.604999999999999,7.488260812765537,17.9,7.31,17.9,7.31,,,,,7.31,
70351,Ti 336.122,545.675,16.114963543241473,534.28,557.07,534.28,557.07,,,,,557.07,
70351,V 319.068,4.0,1.1455129855222068,3.19,4.81,3.19,4.81,,,,,4.81,
70351,Zn 213.857,86.41999999999999,8.032733034279179,92.1,80.74,92.1,80.74,,,,,80.74,
70351,Zn 472.215,,,,,,,,,,,,
,,,,,,,,,,,,,
36586,Ag 328.068,,,,,,,,,,,,
36586,Al 308.215,7370.615,775.9294841994341,6821.95,7919.28,6821.95,7919.28,,,,,7919.28,
36586,As 188.980,,,,,,,,,,,,
36586,As 193.696,10.620000000000001,6.293250352560273,6.17,15.07,6.17,15.07,,,,,15.07,
36586,B 249.772,40.04,0.848528137423859,40.64,39.44,40.64,39.44,,,,,39.44,
